group,team,elo,p_win_m1,p_win_m2,p_win_m3,p_draw_avg,p_loss_avg,E_points_analytic,PB_P_0win,PB_P_1win,PB_P_2win,PB_P_3win,P_pts_0,P_pts_1,P_pts_2,P_pts_3,P_pts_4,P_pts_5,P_pts_6,P_pts_7,P_pts_8,P_pts_9
G,New Zealand,1578.0,0.0753,0.2043,0.1604,0.1945,0.6588,1.9037,0.6177,0.327,0.0528,0.0025,0.2789,0.2563,0.0755,0.205,0.1137,0.0153,0.042,0.0108,0.0,0.0025
H,Spain,2129.0,0.9194,0.9225,0.7314,0.1007,0.0416,8.022,0.0017,0.0437,0.3343,0.6204,0.0,0.0002,0.0007,0.0032,0.0173,0.0239,0.1013,0.233,0.0,0.6204
H,Cape Verde,1606.0,0.0133,0.3827,0.0959,0.164,0.672,1.9679,0.5506,0.4073,0.0416,0.0005,0.2437,0.2476,0.0564,0.2974,0.1062,0.0065,0.038,0.0036,0.0,0.0005
H,Saudi Arabia,1598.0,0.0124,0.3597,0.0911,0.162,0.6836,1.8757,0.5748,0.3877,0.0371,0.0004,0.2632,0.2534,0.0554,0.2858,0.0988,0.0059,0.034,0.0032,0.0,0.0004
H,Uruguay,1870.0,0.099,0.7369,0.7455,0.1668,0.3061,5.2442,0.0603,0.3524,0.5329,0.0544,0.0064,0.0241,0.0252,0.1069,0.2058,0.0443,0.4155,0.1174,0.0,0.0544
I,France,2084.0,0.7157,0.9064,0.6007,0.1565,0.1025,7.1379,0.0106,0.1456,0.4541,0.3897,0.0003,0.0025,0.0049,0.0242,0.0698,0.0546,0.1844,0.2696,0.0,0.3897
I,Senegal,1839.0,0.108,0.718,0.2528,0.1976,0.4428,3.829,0.188,0.5649,0.2275,0.0196,0.0387,0.0914,0.0504,0.2927,0.2368,0.0429,0.1721,0.0555,0.0,0.0196
I,Iraq,1592.0,0.0176,0.1067,0.0589,0.1283,0.8106,0.9345,0.8259,0.1652,0.0089,0.0001,0.5255,0.2593,0.0393,0.1284,0.0362,0.0023,0.008,0.0009,0.0,0.0001
I,Norway,1929.0,0.182,0.5062,0.8076,0.1973,0.3041,5.0791,0.0777,0.4232,0.4247,0.0744,0.0089,0.032,0.0298,0.1502,0.2171,0.0629,0.2881,0.1366,0.0,0.0744
J,Argentina,2128.0,0.8333,0.7444,0.8984,0.1216,0.053,7.7934,0.0043,0.0725,0.3658,0.5573,0.0001,0.0007,0.0019,0.0077,0.0304,0.036,0.1126,0.2532,0.0,0.5573
J,Algeria,1759.0,0.0469,0.2433,0.53,0.1981,0.5285,3.0548,0.339,0.5079,0.1471,0.006,0.101,0.1629,0.0683,0.2887,0.2013,0.0247,0.123,0.0241,0.0,0.006
J,Austria,1857.0,0.0917,0.5181,0.6661,0.1994,0.3753,4.4259,0.1461,0.4634,0.3588,0.0316,0.025,0.0655,0.048,0.1847,0.2394,0.0469,0.2783,0.0804,0.0,0.0316
J,Jordan,1653.0,0.0204,0.234,0.1383,0.1709,0.6982,1.6908,0.6466,0.3148,0.038,0.0007,0.3172,0.263,0.0626,0.2169,0.0944,0.0073,0.0337,0.0042,0.0,0.0007
K,Portugal,1989.0,0.8076,0.7486,0.3813,0.1844,0.1698,6.3656,0.0299,0.2332,0.5064,0.2305,0.0019,0.0091,0.0133,0.0496,0.1215,0.0677,0.2626,0.2438,0.0,0.2305
K,DR Congo,1652.0,0.0589,0.2874,0.0618,0.1729,0.691,1.7431,0.6292,0.3346,0.0352,0.001,0.3003,0.2618,0.0625,0.2356,0.0942,0.0093,0.0296,0.0056,0.0,0.001
K,Uzbekistan,1714.0,0.0894,0.464,0.0935,0.192,0.5924,2.5164,0.4425,0.4721,0.0816,0.0039,0.1595,0.2081,0.0683,0.3032,0.1556,0.0199,0.0656,0.016,0.0,0.0039
K,Colombia,1982.0,0.3611,0.8015,0.7412,0.1865,0.1789,6.2711,0.0328,0.2451,0.5076,0.2145,0.0022,0.0103,0.0145,0.0539,0.1285,0.0684,0.2701,0.2375,0.0,0.2145
L,England,2024.0,0.5389,0.9158,0.768,0.1522,0.1069,7.1248,0.009,0.1383,0.4737,0.379,0.0003,0.002,0.0042,0.0221,0.0677,0.0511,0.2048,0.2689,0.0,0.379
L,Croatia,1912.0,0.2272,0.8567,0.6375,0.1821,0.2441,5.7105,0.0401,0.3224,0.5134,0.1241,0.0031,0.0144,0.0175,0.0914,0.174,0.0621,0.3302,0.1832,0.0,0.1241
L,Ghana,1510.0,0.0145,0.0366,0.1258,0.1215,0.8195,0.8952,0.83,0.1632,0.0068,0.0001,0.5383,0.2556,0.0347,0.1316,0.0313,0.0017,0.0061,0.0006,0.0,0.0001
L,Panama,1730.0,0.0789,0.1569,0.6861,0.1823,0.5104,3.3124,0.2438,0.599,0.1487,0.0085,0.0616,0.1243,0.052,0.3633,0.2125,0.0292,0.1187,0.0299,0.0,0.0085
