form_sd,Spain,Argentina,France,England,Portugal,Brazil
0,23.51,24.91,17.74,7.29,4.02,3.66
40,22.49,23.42,17.11,7.52,4.32,3.81
70,21.21,21.82,15.64,7.63,4.46,4.0
100,19.26,19.46,14.41,7.51,4.74,4.26
