elo_diff,E_elo,E_model,lamA,lamB,abs_err
0,0.5,0.5000000000000002,1.35,1.35,2.220446049250313e-16
20,0.5287505638922686,0.5287505611584988,1.4246661876044135,1.2993338123955867,2.7337697661167226e-09
40,0.5573116337622928,0.557311544395767,1.499647818173024,1.2483521818269763,8.936652573510173e-08
60,0.5854986786718095,0.5854991105895653,1.5747757862398073,1.197224213760193,4.3191775578321767e-07
80,0.6131368201531431,0.61313682083012,1.649880147859467,1.1461198521405334,6.76976918967398e-10
100,0.6400649998028851,0.640065004723255,1.7248037354865475,1.0951962645134528,4.9203698893052206e-09
120,0.6661394245831221,0.6661394488713198,1.7993933471286314,1.044606652871369,2.428819767530399e-08
140,0.691236152414763,0.691236243571691,1.8735063264052414,0.994493673594759,9.115692800598652e-08
160,0.7152527510491987,0.7152530292106445,1.9470108711536627,0.9449891288463376,2.7816144576586765e-07
180,0.7381090325404187,0.7381090324906394,2.019785114567784,0.8962148854322165,4.977929179972307e-11
200,0.7597469266479578,0.7597469264936121,2.091722760785119,0.8482772392148812,1.543457583963459e-10
220,0.7801296039931584,0.7801296035963861,2.1627273602562744,0.8012726397437255,3.9677239271895814e-10
240,0.7992399910868982,0.7992399902227912,2.2327155664435154,0.7552844335564846,8.641070081694124e-10
260,0.8170788341999742,0.8170788325793639,2.3016161514274596,0.7103838485725406,1.620610312613735e-09
280,0.8336624691834381,0.8336624665327577,2.369369521107279,0.666630478892721,2.650680452909171e-09
300,0.8490204427886767,0.8490204389704442,2.435927071211575,0.6240729287884254,3.8182325079461066e-09
320,0.8631931113967899,0.8631931065161422,2.501250427447616,0.582749572552384,4.880647663796367e-09
340,0.8762293189310646,0.8762293133635093,2.5653106101132455,0.5426893898867549,5.567555305674432e-09
360,0.8881842302218831,0.8881842245314177,2.628087159118635,0.5039128408813651,5.690465432195424e-09
380,0.8991173716432768,0.8991173664199547,2.689567250154165,0.46643274984583516,5.223322108172113e-09
400,0.9090909090909091,0.9090909047820322,2.7497448271177856,0.4302551728822146,4.308876810910078e-09
420,0.9181681752448481,0.9181681720538539,2.8086197702599307,0.3953802297400695,3.190994135593428e-09
440,0.9264124438824264,0.9264124417676308,2.8661971141836853,0.36180288581631515,2.1147955608924462e-09
460,0.9338859386628043,0.9338859374155751,2.922486325155948,0.32951367484405214,1.2472292088006043e-09
480,0.9406490568972323,0.9406490562483977,2.97750064330262,0.29849935669738015,6.488346526722921e-10
500,0.9467597847979775,0.9467597845041107,3.031256492172261,0.26874350782773915,2.9386681976717455e-10
520,0.9522732789657962,0.9522732788521133,3.083772955741045,0.2402270442589549,1.1368284091872738e-10
540,0.957241588853464,0.957241588816941,3.135071321059122,0.21292867894087797,3.6523006841093775e-11
560,0.9617134961177454,0.9617134961084041,3.1851746833066974,0.1868253166933025,9.341305506893605e-12
580,0.9657344487151751,0.9657344487133951,3.23410760898634,0.16189239101366004,1.7800205753815135e-12
600,0.9693465699682844,0.9693466949427075,3.2818969032420924,0.13810309675790755,1.2497442314352014e-07
620,0.9725887253726934,0.9725887567201765,3.3285663999569293,0.11543360004307046,3.134748316480085e-08
640,0.9754966324496641,0.9754966371036261,3.3741459189231437,0.09385408107685622,4.653961993561495e-09
660,0.9781030013517666,0.9781030015676327,3.418663186736505,0.07333681326349506,2.1586610277068985e-10
680,0.9804376961274206,0.9804376987483436,3.4621466208369185,0.05385337916308175,2.6209230341578404e-09
700,0.9825279085051666,0.9812292921108522,3.49,0.050000000000000044,0.0012986163943143891
720,0.9843983377581704,0.981654983524347,3.5140000000000002,0.050000000000000044,0.0027433542338234362
740,0.9860713716585464,0.982071030133291,3.5380000000000003,0.050000000000000044,0.004000341525255413
